ind,wage,educ,race,sex,hispanic,south,married,exper,union,age,sector,Time
386,7.14,14,W,M,NH,NS,Married,17,Not,37,service,0.140056022
387,10.25,14,W,F,NH,NS,Married,26,Not,46,manag,0.097560976
388,6.25,14,W,F,NH,NS,Married,12,Not,32,prof,0.16
389,4.5,14,W,M,NH,NS,Married,14,Not,34,sales,0.222222222
390,7.96,14,W,F,NH,NS,Married,12,Not,32,service,0.125628141
391,12.5,14,W,F,NH,NS,Married,19,Not,39,service,0.08
392,8.85,14,NW,F,NH,NS,Married,19,Union,39,clerical,0.11299435
393,26,14,W,M,NH,NS,Married,21,Union,41,other,0.038461538
394,16,14,W,M,NH,NS,Married,20,Union,40,other,0.0625
395,18.5,14,W,F,NH,NS,Single,13,Not,33,manuf,0.054054054
396,12.5,15,W,F,NH,NS,Married,6,Not,27,clerical,0.08
397,9.75,15,W,F,NH,NS,Married,9,Not,30,manuf,0.102564103
398,12.5,15,W,M,NH,NS,Single,10,Not,31,prof,0.08
399,10.61,15,W,F,NH,NS,Single,33,Not,54,prof,0.094250707
400,11.25,15,W,M,NH,NS,Single,5,Not,26,prof,0.088888889
401,22.5,15,W,M,NH,NS,Married,12,Not,33,manag,0.044444444
402,6,15,W,F,NH,S,Single,26,Not,47,service,0.166666667
403,3.75,15,W,M,NH,S,Single,4,Not,25,sales,0.266666667
404,17.25,15,W,M,NH,NS,Married,31,Not,52,manag,0.057971014
405,9.86,15,W,M,NH,NS,Married,13,Not,34,prof,0.101419878
406,10.28,15,W,F,NH,S,Married,10,Not,31,prof,0.097276265
407,4.84,15,W,M,NH,NS,Married,1,Union,22,manag,0.20661157
408,7.67,15,W,F,NH,NS,Married,11,Not,32,prof,0.130378096
409,9,16,W,F,NH,NS,Married,27,Not,49,clerical,0.111111111
410,10,16,W,M,Hisp,NS,Married,7,Union,29,manag,0.1
411,15,16,NW,M,NH,NS,Married,26,Union,48,manag,0.066666667
412,7.88,16,NW,M,NH,NS,Married,17,Not,39,clerical,0.126903553
413,24.98,16,W,M,NH,NS,Married,18,Not,40,manag,0.040032026
414,5.77,16,W,M,NH,NS,Single,3,Not,25,service,0.173310225
415,11.71,16,W,F,NH,NS,Single,42,Not,64,clerical,0.085397096
416,22.5,16,W,M,NH,NS,Married,22,Not,44,manag,0.044444444
417,11.25,16,NW,F,NH,NS,Single,3,Not,25,manag,0.088888889
418,15.38,16,W,M,NH,NS,Married,33,Not,55,prof,0.065019506
419,15,16,W,M,NH,NS,Married,12,Not,34,manuf,0.066666667
420,3.35,16,NW,M,NH,NS,Single,3,Not,25,clerical,0.298507463
421,5.4,16,W,F,NH,NS,Married,10,Not,32,prof,0.185185185
422,10,16,W,F,NH,NS,Married,10,Not,32,prof,0.1
423,19.38,16,W,F,NH,NS,Married,11,Not,33,prof,0.051599587
424,4,16,W,F,NH,NS,Single,20,Not,42,service,0.25
425,17.5,16,NW,M,NH,S,Married,13,Not,35,prof,0.057142857
426,6,16,W,M,NH,S,Single,8,Not,30,manag,0.166666667
427,15,16,W,M,NH,S,Married,10,Not,32,manag,0.066666667
428,6.67,16,W,F,NH,NS,Single,10,Union,32,prof,0.149925037
429,11.79,16,W,F,NH,NS,Single,6,Union,28,prof,0.084817642
430,13.89,16,W,F,NH,NS,Single,17,Not,39,prof,0.07199424
431,9,16,NW,F,NH,NS,Married,6,Not,28,service,0.111111111
432,13.2,16,W,M,NH,NS,Single,10,Not,32,manag,0.075757576
433,7.5,16,W,F,NH,NS,Married,22,Not,44,prof,0.133333333
434,13.45,16,NW,M,NH,NS,Single,8,Not,30,manag,0.074349442
435,22.5,16,W,M,NH,NS,Married,17,Not,39,prof,0.044444444
436,13.28,16,W,M,NH,NS,Married,11,Not,33,manuf,0.075301205
437,9,16,NW,M,NH,NS,Married,7,Not,29,manag,0.111111111
438,9.24,16,NW,M,NH,NS,Married,5,Union,27,prof,0.108225108
439,8,16,W,F,Hisp,NS,Married,17,Not,39,prof,0.125
440,3.35,16,NW,F,NH,S,Married,14,Not,36,sales,0.298507463
441,20,16,W,F,NH,S,Married,28,Union,50,prof,0.05
442,18,16,W,M,NH,S,Married,38,Not,60,prof,0.055555556
443,15.56,16,W,M,NH,NS,Single,10,Not,32,prof,0.064267352
444,3.35,16,W,M,NH,NS,Single,9,Not,31,manag,0.298507463
445,5.5,16,W,F,NH,NS,Single,2,Not,24,clerical,0.181818182
446,6.25,16,NW,M,NH,NS,Single,4,Not,26,clerical,0.16
447,5,16,W,F,NH,S,Married,4,Not,26,clerical,0.2
448,10,16,W,M,NH,S,Married,14,Union,36,prof,0.1
449,20.5,16,W,M,NH,S,Married,14,Union,36,prof,0.048780488
450,6.25,16,W,F,Hisp,S,Married,7,Not,29,prof,0.16
451,10,16,W,F,NH,S,Married,4,Not,26,prof,0.1
452,3.75,16,W,F,NH,S,Single,13,Not,35,other,0.266666667
453,10.62,16,W,F,NH,NS,Married,6,Not,28,manag,0.094161959
454,14,16,W,F,NH,NS,Married,16,Not,38,prof,0.071428571
455,5,16,W,M,NH,NS,Single,3,Union,25,other,0.2
456,11,16,W,M,NH,NS,Married,13,Union,35,manuf,0.090909091
457,14.53,16,W,M,NH,NS,Married,18,Not,40,manag,0.068823125
458,10,16,W,F,NH,NS,Single,0,Not,18,prof,0.1
459,10,16,W,F,NH,NS,Married,7,Not,29,clerical,0.1
460,24.98,16,W,F,NH,S,Single,5,Not,27,prof,0.040032026
461,10.58,16,W,M,NH,NS,Single,9,Not,31,prof,0.094517958
462,12,16,W,F,NH,NS,Married,14,Not,36,prof,0.083333333
463,11.5,16,W,M,NH,NS,Married,16,Not,38,sales,0.086956522
464,13.65,16,W,M,NH,NS,Married,11,Not,33,prof,0.073260073
465,5.25,16,W,F,NH,S,Single,2,Not,24,clerical,0.19047619
466,12.67,16,W,M,NH,NS,Married,15,Not,37,prof,0.078926598
467,5.8,16,W,M,NH,NS,Married,14,Not,36,manag,0.172413793
468,7.5,16,W,M,NH,NS,Married,10,Union,32,prof,0.133333333
469,5.5,16,W,M,NH,S,Married,29,Not,51,prof,0.181818182
470,15.73,16,W,M,NH,NS,Married,4,Not,26,prof,0.063572791
471,9.37,16,W,F,NH,NS,Married,26,Not,48,manag,0.106723586
472,12.05,16,W,F,NH,NS,Single,6,Not,28,prof,0.082987552
473,8.89,16,W,F,NH,NS,Married,22,Union,44,prof,0.112485939
474,6.25,16,W,F,NH,NS,Married,7,Not,29,prof,0.16
475,7.78,16,W,F,NH,NS,Married,6,Not,28,prof,0.128534704
476,5.65,16,W,F,NH,NS,Married,6,Not,28,sales,0.17699115
477,13.45,16,NW,M,NH,S,Single,16,Not,38,prof,0.074349442
478,4.5,16,W,M,NH,NS,Married,21,Not,43,service,0.222222222
479,6.15,16,W,F,NH,NS,Single,16,Not,38,prof,0.162601626
480,24.98,17,W,M,Hisp,NS,Married,18,Not,41,prof,0.040032026
481,20.4,17,W,M,NH,NS,Single,3,Not,26,prof,0.049019608
482,11.25,17,NW,F,NH,NS,Married,32,Not,55,clerical,0.088888889
483,24.98,17,W,F,NH,NS,Single,5,Not,28,prof,0.040032026
484,12.65,17,W,F,NH,NS,Married,13,Not,36,manag,0.079051383
485,9.37,17,W,M,NH,NS,Married,7,Union,30,prof,0.106723586
486,18.16,17,W,M,NH,S,Single,14,Not,37,manag,0.055066079
487,9.5,17,W,F,NH,NS,Married,14,Not,37,prof,0.105263158
488,6,17,W,F,NH,NS,Single,3,Union,26,prof,0.166666667
489,12,17,W,F,NH,NS,Married,24,Not,47,prof,0.083333333
490,24.98,17,W,M,NH,NS,Married,31,Not,54,prof,0.040032026
491,5,17,W,F,NH,S,Single,1,Not,24,other,0.2
492,10.2,17,W,F,NH,NS,Married,26,Union,49,prof,0.098039216
493,15.95,17,W,F,NH,NS,Single,13,Union,36,prof,0.062695925
494,11.25,17,W,F,NH,NS,Single,10,Not,33,prof,0.088888889
495,7,17,W,M,NH,S,Married,2,Not,25,prof,0.142857143
496,5.87,17,NW,F,NH,S,Single,6,Not,29,clerical,0.170357751
497,7.8,17,W,M,NH,NS,Married,7,Not,30,prof,0.128205128
498,12,17,W,M,NH,NS,Married,13,Not,36,sales,0.083333333
499,8.5,17,W,M,NH,S,Single,3,Not,26,clerical,0.117647059
500,26.29,17,W,M,NH,S,Married,32,Not,55,manag,0.038037277
501,6.88,17,W,F,NH,NS,Married,15,Not,38,manag,0.145348837
502,12.5,17,W,F,NH,NS,Married,13,Union,36,prof,0.08
503,23.25,17,NW,F,NH,NS,Married,25,Union,48,prof,0.043010753
504,15,18,W,M,NH,NS,Married,12,Not,36,prof,0.066666667
505,13.95,18,W,F,NH,NS,Married,14,Not,38,manag,0.071684588
506,13.51,18,W,M,NH,NS,Married,14,Union,38,prof,0.074019245
507,20,18,W,F,NH,NS,Married,19,Not,43,manag,0.05
508,7,18,W,M,NH,NS,Married,33,Not,57,prof,0.142857143
509,11.22,18,W,M,NH,NS,Married,19,Not,43,prof,0.08912656
510,5.71,18,W,M,NH,NS,Married,3,Not,27,prof,0.175131349
511,18,18,W,M,NH,NS,Married,15,Not,39,prof,0.055555556
512,19,18,W,M,NH,NS,Single,13,Not,37,manag,0.052631579
513,22.83,18,W,F,NH,NS,Single,37,Not,61,prof,0.043802015
514,22.5,18,W,M,NH,NS,Married,14,Not,38,manag,0.044444444
515,14,18,W,F,NH,NS,Single,31,Union,55,prof,0.071428571
516,5.2,18,W,F,Hisp,S,Married,13,Not,37,clerical,0.192307692
517,24.98,18,W,M,NH,NS,Married,29,Not,53,manag,0.040032026
518,15.79,18,W,M,NH,NS,Married,7,Not,31,prof,0.063331222
519,18.16,18,W,M,NH,NS,Married,7,Not,31,prof,0.055066079
520,8,18,W,M,NH,NS,Single,33,Union,57,prof,0.125
521,17.25,18,W,M,NH,NS,Married,5,Not,29,prof,0.057971014
522,13.33,18,W,M,NH,NS,Married,10,Not,34,sales,0.075018755
523,6.25,18,W,M,NH,S,Married,14,Not,38,prof,0.16
524,10,18,W,F,NH,S,Single,13,Not,37,manag,0.1
525,5.21,18,W,M,NH,S,Married,10,Not,34,clerical,0.19193858
526,12,18,W,M,NH,NS,Married,23,Union,47,prof,0.083333333
527,5.85,18,W,M,NH,S,Married,12,Not,36,prof,0.170940171
528,22.2,18,W,F,NH,NS,Single,40,Not,64,prof,0.045045045
529,15,18,W,F,NH,NS,Married,11,Not,35,prof,0.066666667
530,12,18,W,F,NH,NS,Married,18,Union,42,prof,0.083333333
531,6.25,18,NW,M,NH,NS,Married,27,Not,51,prof,0.16
532,5.71,18,W,M,NH,S,Single,7,Not,31,prof,0.175131349
533,11.36,18,W,M,NH,NS,Single,5,Not,29,prof,0.088028169
534,22.2,18,W,M,NH,NS,Married,8,Not,32,prof,0.045045045
